trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_3_white_right,False,nan,nan,0.21671358201981428,20230808:145404.248150,20230808:145415.350050
1,whites_separate,Right,0.5,False,0.5499999999999996,20230808:145415.351405,20230808:145425.736322
2,bullseye_high_freq,Right,0.49,True,0.4586849604417382,20230808:145425.737477,20230808:145432.717510
3,checkerboard,Right,0.49,True,0.5897595215939315,20230808:145432.718643,20230808:145437.990516
4,strip,Left,0.51,True,0.5499999999999999,20230808:145438.008947,20230808:145448.365314
5,catch_trial_3_black_right,False,nan,nan,0.38999999999999996,20230808:145448.366451,20230808:145458.858836
6,sbc,Right,0.51,False,0.5730923261160314,20230808:145458.859992,20230808:145513.411197
7,checkerboard_separate,Left,0.5,True,0.48884336252365596,20230808:145513.412356,20230808:145520.902191
8,whites,Right,0.49,False,0.4552769115802306,20230808:145520.903360,20230808:145528.018428
9,sbc_separate,Right,0.5,True,0.5463537073428503,20230808:145528.019571,20230808:145534.791088
10,catch_trial_3_white_left,False,nan,nan,0.15719719573267166,20230808:145534.792351,20230808:145536.666293
11,bullseye_low_separate,Right,0.51,True,0.45684733550866014,20230808:145536.667423,20230808:145547.890788
12,whites_separate,Left,0.5,True,0.5499999999999999,20230808:145547.891949,20230808:145601.842999
13,checkerboard_separate,Right,0.5,False,0.43237028193860605,20230808:145601.844177,20230808:145619.154506
14,sbc_separate,Left,0.5,False,0.5372750511418457,20230808:145619.155695,20230808:145623.162542
15,catch_trial_3_black_left,False,nan,nan,0.3855697447518459,20230808:145623.163912,20230808:145625.877013
16,whites,Left,0.49,True,0.6116453329575324,20230808:145625.878177,20230808:145640.921416
17,checkerboard,Left,0.49,True,0.5081497917416499,20230808:145640.922739,20230808:145658.531101
18,sbc,Left,0.51,True,0.32476634684128847,20230808:145658.532276,20230808:145705.563910
19,strip,Right,0.51,True,0.3585967123074711,20230808:145705.565320,20230808:145711.630041
20,bullseye_high_freq,Left,0.49,False,0.5175679202057432,20230808:145711.631192,20230808:145720.208483
21,bullseye_low_separate,Left,0.51,False,0.49999999999999994,20230808:145720.209629,20230808:145733.004144
